date_mesure,geocode_commune,libelle_commune,valeur
2025-01-01T00:00:00.000,02792,Veuilly-la-Poterie,155
2025-01-01T00:00:00.000,18213,Saint-Germain-du-Puy,4779
2025-01-01T00:00:00.000,19056,Clergoux,408
2025-01-01T00:00:00.000,19146,Naves,2281
2025-01-01T00:00:00.000,08463,Vaux-en-Dieulet,53
2025-01-01T00:00:00.000,02524,Mont-Saint-Père,684
2025-01-01T00:00:00.000,10274,Orvilliers-Saint-Julien,313
2025-01-01T00:00:00.000,17048,Blanzac-lès-Matha,345
2025-01-01T00:00:00.000,10307,Prugny,367
2025-01-01T00:00:00.000,02715,Serval,42
2025-01-01T00:00:00.000,02747,Trefcon,80
2025-01-01T00:00:00.000,04173,Saint-André-les-Alpes,1029
2025-01-01T00:00:00.000,14587,Saint-Germain-la-Blanche-Herbe,2482
2025-01-01T00:00:00.000,16142,La Forêt-de-Tessé,206
2025-01-01T00:00:00.000,33038,Bégadan,893
2025-01-01T00:00:00.000,04234,Venterol,236
2025-01-01T00:00:00.000,17451,Les Touches-de-Périgny,550
2025-01-01T00:00:00.000,03071,Chavroches,268
2025-01-01T00:00:00.000,11315,Rieux-Minervois,1957
2025-01-01T00:00:00.000,02340,Gauchy,5183
2025-01-01T00:00:00.000,12220,Sainte-Eulalie-de-Cernon,325
2025-01-01T00:00:00.000,13030,Cuges-les-Pins,6236
2025-01-01T00:00:00.000,02717,Séry-lès-Mézières,601
2025-01-01T00:00:00.000,17249,Mortiers,173
2025-01-01T00:00:00.000,01390,Saint-Vulbas,1247
2025-01-01T00:00:00.000,15100,Laveissenet,137
2025-01-01T00:00:00.000,19284,Viam,85
2025-01-01T00:00:00.000,08369,La Romagne,130
2025-01-01T00:00:00.000,05104,Poligny,338
2025-01-01T00:00:00.000,16164,Hiesse,238
2025-01-01T00:00:00.000,14533,Repentigny,102
2025-01-01T00:00:00.000,02702,Savy,618
2025-01-01T00:00:00.000,14281,Formigny La Bataille,765
2025-01-01T00:00:00.000,03303,Venas,217
2025-01-01T00:00:00.000,16330,Saint-Laurent-de-Cognac,832
2025-01-01T00:00:00.000,07305,Les Salelles,414
2025-01-01T00:00:00.000,06020,La Bollène-Vésubie,662
2025-01-01T00:00:00.000,03088,Courçais,314
2025-01-01T00:00:00.000,02184,Chevresis-Monceau,329
2025-01-01T00:00:00.000,19227,Saint-Mexant,1330
2025-01-01T00:00:00.000,03143,Lételon,93
2025-01-01T00:00:00.000,16375,Suaux,378
2025-01-01T00:00:00.000,02760,La Vallée-Mulâtre,152
2025-01-01T00:00:00.000,15213,Saint-Saturnin,186
2025-01-01T00:00:00.000,09195,Monesple,26
2025-01-01T00:00:00.000,11104,Counozouls,57
2025-01-01T00:00:00.000,05171,Théus,232
2025-01-01T00:00:00.000,02774,Vendelles,123
2025-01-01T00:00:00.000,01433,Vernoux,290
2025-01-01T00:00:00.000,15267,Ytrac,4339
2025-01-01T00:00:00.000,03164,Le Mayet-d'École,304
2025-01-01T00:00:00.000,08242,Laifour,399
2025-01-01T00:00:00.000,07181,Le Pouzin,2886
2025-01-01T00:00:00.000,03188,Montord,211
2025-01-01T00:00:00.000,10160,Fravaux,36
2025-01-01T00:00:00.000,01121,Corlier,116
2025-01-01T00:00:00.000,19212,Saint-Hilaire-Taurieux,91
2025-01-01T00:00:00.000,10150,Fontaine,246
2025-01-01T00:00:00.000,17045,Beurlay,994
2025-01-01T00:00:00.000,14491,Parfouru-sur-Odon,198
2025-01-01T00:00:00.000,12195,Rebourguil,296
2025-01-01T00:00:00.000,05134,Saint-Clément-sur-Durance,343
2025-01-01T00:00:00.000,10215,Magny-Fouchard,260
2025-01-01T00:00:00.000,08311,Mouzon,2229
2025-01-01T00:00:00.000,19057,Collonges-la-Rouge,478
2025-01-01T00:00:00.000,15170,Saint-Amandin,225
2025-01-01T00:00:00.000,16281,La Rochefoucauld-en-Angoumois,4025
